"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00197453567770518,0.304945530497024,0.817,0.712,1,"acupuncture","Rpl37.1"
0.00238548047944072,0.31391355462663,0.472,0.329,1,"acupuncture","Pgam1"
0.00255088282267559,0.48376449925484,0.378,0.252,1,"acupuncture","Sod3"
0.00255789003078054,0.375990718613628,0.556,0.396,1,"acupuncture","Nfil3"
0.00258853652398713,0.579883546619254,0.933,0.896,1,"acupuncture","Fos"
0.00261523336199745,0.790336670424924,0.267,0.153,1,"acupuncture","ENSRNOG00000064487"
0.00265288592539379,0.392349194785983,0.361,0.23,1,"acupuncture","Golim4"
0.00268017881569963,0.316980270110663,0.439,0.293,1,"acupuncture","Rpl35al1"
0.00269238484877279,0.315572711499618,0.389,0.248,1,"acupuncture","Qrich1"
0.00299754789757166,0.80015325584702,0.267,0.153,1,"acupuncture","Ctsh"
0.00303294265732589,0.292357613022848,0.861,0.761,1,"acupuncture","Adgre5"
0.00316441500829115,0.330893695093915,0.928,0.842,1,"acupuncture","Anxa1"
0.00322791274991746,0.400367002353268,0.533,0.383,1,"acupuncture","Pla2g2d"
0.00325058354727374,0.417648311205042,0.272,0.153,1,"acupuncture","Tnfaip6"
0.00341416203349448,0.266613158248408,0.544,0.396,1,"acupuncture","Clk1"
0.00342016940490506,0.2672972840553,0.372,0.239,1,"acupuncture","P3h3"
0.00350490338899325,0.362760709929939,0.272,0.158,1,"acupuncture","Sppl3"
0.00371602918037027,1.84798807376619,0.356,0.239,1,"acupuncture","Pi16"
0.00372100482559812,0.271636424031079,0.333,0.212,1,"acupuncture","Uqcrc1"
0.00419091616234653,0.279362444168563,0.361,0.239,1,"acupuncture","Mbd2"
0.00427411955201243,0.961370413148605,0.383,0.252,1,"acupuncture","Sparc"
0.00443555353188404,0.262361416511863,0.6,0.459,1,"acupuncture","Cotl1"
0.00474507944261567,0.422610632842761,0.778,0.689,1,"acupuncture","Ifitm1"
0.004795362863727,0.279777548650235,0.261,0.149,1,"acupuncture","Rsl24d1"
0.00521112599659085,0.30542826458857,0.394,0.252,1,"acupuncture","Vps4b"
0.00540729183624688,0.361271629574026,0.733,0.631,1,"acupuncture","Arf6"
0.00541649540593421,0.352791812831633,0.25,0.144,1,"acupuncture","Mrpl36"
0.00547465783910098,0.329731015672008,0.494,0.383,1,"acupuncture","Snu13.1"
0.0056449390654118,0.434615014006779,0.378,0.248,1,"acupuncture","Plscr2"
0.00571723423571934,0.293067297842116,0.3,0.189,1,"acupuncture","Cox6b1"
0.00626206351447071,0.343005494145396,0.317,0.207,1,"acupuncture","Emc10"
0.00665473629854074,0.274922284943814,0.9,0.842,1,"acupuncture","Ywhaz"
0.00674635390105131,0.561533688878382,0.594,0.495,1,"acupuncture","ENSRNOG00000069024"
0.00680959513795659,0.331109803544591,0.356,0.248,1,"acupuncture","Pdlim1"
0.00713976418530658,0.308812461518374,0.606,0.477,1,"acupuncture","Ifitm2"
0.00771277994871717,0.255446535459228,0.383,0.261,1,"acupuncture","Gas7"
0.00771666918374877,0.34992027004132,0.539,0.423,1,"acupuncture","Tkt"
0.00806692866643229,0.467012988956919,0.933,0.874,1,"acupuncture","Plek"
0.00819646555335174,0.264268914012821,0.572,0.446,1,"acupuncture","Septin11"
0.00873670952981958,0.458199257960863,0.444,0.342,1,"acupuncture","Zbtb33"
0.00895332703894403,0.401767760159993,0.456,0.333,1,"acupuncture","ENSRNOG00000067332"
0.0092037717063316,0.276089320783489,0.872,0.824,1,"acupuncture","Nme2"
0.00981137013817945,0.282969948421101,0.544,0.414,1,"acupuncture","Nenf"
0.00995977202549963,0.404920318791189,0.794,0.716,1,"acupuncture","Ier3"
1.51923954037994e-17,0.717235260780006,0.995,0.983,3.01781742301071e-13,"dysentery","LOC100360413"
5.30914430218084e-15,1.24205617602652,0.946,0.811,1.0546084241852e-10,"dysentery","Tpsab1"
7.35756145843759e-11,0.946247921868359,0.874,0.861,1.46150600810404e-06,"dysentery","Hspa5"
1.70832524702963e-09,1.11813901356508,0.919,0.894,3.39341727069966e-05,"dysentery","Tpsb2"
2.69511136069725e-09,0.642553574902871,0.82,0.556,5.35356920688902e-05,"dysentery","Rpl38.1"
2.31276337078017e-08,0.382548420707764,0.991,0.994,0.000459407315971773,"dysentery","Rps24"
1.20472038409178e-07,1.0931076242895,0.698,0.594,0.00239305657095992,"dysentery","Hsp90b1"
3.32438715068404e-07,0.407210288946199,0.964,0.944,0.00660356263611878,"dysentery","Rpl30"
5.52403875526126e-07,0.344351445976192,0.986,0.994,0.010972950583451,"dysentery","Rps15"
9.24653837391672e-07,0.451915792377275,0.914,0.878,0.0183673238259482,"dysentery","Rpl38.3"
9.76938841607885e-07,0.262004277507196,0.995,0.994,0.019405913149699,"dysentery","Mt-cyb"
1.33268747845383e-06,0.595909407391544,0.874,0.828,0.0264725040720068,"dysentery","Zfp36l2"
1.98089460120379e-06,0.505256024150045,0.955,0.861,0.0393484903583121,"dysentery","Il1rl1"
2.93749637410159e-06,0.654587942193098,0.662,0.483,0.0583504279751539,"dysentery","Gadd45b"
3.30185373168922e-06,0.293751826631325,0.973,0.989,0.0655880225262748,"dysentery","Rpl17"
5.04098405040701e-06,0.440589500899021,0.955,0.922,0.100134107177285,"dysentery","Chchd2.1"
5.08374607896075e-06,0.733818261835835,0.419,0.233,0.100983532112476,"dysentery","Sdf2l1"
1.2619384400473e-05,0.553195047511039,0.685,0.511,0.250671451730995,"dysentery","Dyrk3"
0.000162184141324221,0.455759694582448,0.892,0.867,1,"dysentery","Fcer1a"
0.00026707804780799,0.379841966990218,0.892,0.872,1,"dysentery","Npm1"
0.000282002043851977,0.434613595687046,0.27,0.128,1,"dysentery","Creld2"
0.000348996800984474,0.269006002344496,0.991,1,1,"dysentery","ENSRNOG00000063418"
0.000398840586714056,0.420242115075099,0.694,0.578,1,"dysentery","Brd2"
0.000480545061423462,0.40881375049021,0.874,0.794,1,"dysentery","Alox5ap"
0.000591622903151853,0.321606007838634,0.959,0.939,1,"dysentery","Ms4a2"
0.000655763016278101,0.605461510694737,0.622,0.494,1,"dysentery","Txnip"
0.000730718776923175,0.649474359754602,0.599,0.483,1,"dysentery","Plk2"
0.000739901662436894,0.430065352102766,0.833,0.706,1,"dysentery","Id2"
0.000877063663200858,0.390294132178675,0.797,0.733,1,"dysentery","Dnajb9"
0.000911458846179311,0.336924285219297,0.824,0.806,1,"dysentery","Pfdn5"
0.00141004724230838,0.450582406771133,0.712,0.594,1,"dysentery","Eif3m"
0.00171611743871753,0.309468228796584,0.914,0.911,1,"dysentery","Dynll1"
0.00216716234280147,0.415948923450791,0.437,0.311,1,"dysentery","Rpl35a-ps6"
0.00217902479155477,0.555139045630145,0.293,0.178,1,"dysentery","Gabpb1"
0.00223284906791749,0.30304770091347,0.91,0.811,1,"dysentery","Fam107b"
0.00244384457840338,0.398337340367392,0.739,0.661,1,"dysentery","Smco4"
0.0025512991677838,0.480587865386305,0.739,0.678,1,"dysentery","Nfkbia"
0.00295268714512101,0.335800108999646,0.685,0.606,1,"dysentery","Mpc1"
0.00296839780940478,0.332484969912859,0.775,0.711,1,"dysentery","Cebpb"
0.00298682228711706,0.382475416776787,0.671,0.622,1,"dysentery","Spcs2"
0.00325007868750044,0.387364126642448,0.622,0.478,1,"dysentery","Gls"
0.00436835944845774,0.578106254500794,0.45,0.328,1,"dysentery","Pdp2"
0.00447610056349172,0.528546636623904,0.342,0.233,1,"dysentery","Tnfrsf22"
0.00460347497627223,0.250098809927122,0.995,0.994,1,"dysentery","Kxd1"
0.00548417339829041,0.302919499600392,0.847,0.806,1,"dysentery","Rfc2"
0.00597753090941021,0.289020271098817,0.842,0.75,1,"dysentery","Nap1l1"
0.00670623741810232,0.41327876433676,0.73,0.711,1,"dysentery","Calr"
0.00702357779953298,0.339691653787145,0.541,0.411,1,"dysentery","Eid1"
0.00707123634609444,0.299641261770178,0.338,0.228,1,"dysentery","Hmgb2l1"
0.00741269810447148,0.471127950706361,0.721,0.633,1,"dysentery","P4hb"
0.00754391024838644,0.329940039249079,0.811,0.778,1,"dysentery","Srsf5"
0.00808574321029532,0.543966511107915,0.55,0.45,1,"dysentery","Tfrc"
0.00860271157259568,0.381984866270218,0.626,0.522,1,"dysentery","Mrps6"
0.0095965752895522,0.381069490939093,0.432,0.328,1,"dysentery","Dhrsx"
